row_id,id,language,proverb_native,proverb_en,prescriptive_or_descriptive,has_implicit_prescription
82,zh_maps_00260,zh,四海之内皆兄弟,all people are brothers in the world,1,
83,gutenberg_00035,fr,"Aide-toi, le ciel t’aidera",Help thyself and heaven will help thee.,0,
84,bn_maps_00155,bn,শক্ত মাটিতে বিড়াল আঁচড়ায় না,Cats don't scratch on hard ground,1,
85,gutenberg_05114,es,"Quien no castiga culito, no castiga culazo",He who does not whip the child does not mend the youth.,1,
86,gutenberg_06354,nl,Een zacht antwoord stilt den toorn,A soft answer turneth away wrath.,1,
87,gutenberg_05348,pt,"Abre tua bolsa, abrirei a minha boca","Open your purse, and I will open my mouth.",1,
88,gutenberg_05618,pt,Fardel de pedinte nunca he cheio,A beggar’s wallet is never full.,1,
89,gutenberg_04008,de,Zum Lernen ist Niemand zu alt,No one is too old to learn.,1,
90,gutenberg_00298,fr,Deniers avancent les bediers,Money advances meacocks.,1,
91,gutenberg_01033,fr,"Qui peut lécher, peut mordre",He who can lick can bite.,1,
92,gutenberg_01692,it,Chiodo con chiodo da se si cava,One nail drives out another.,1,
93,gutenberg_03559,de,Ueberfluß bringt Ueberdruß,Satiety causes disgust.,1,
94,zh_maps_00040,zh,三十六计，走为上计,"Thirty-six strategies, the best strategy is to escape",1,
95,gutenberg_04335,es,Coraçon determinado no sufre ser aconsejado,A determined heart will not be counselled.,1,
96,gutenberg_03138,de,Im Becher ersaufen mehr als im Meer,More are drowned in the bowl than in the sea.,1,
97,gutenberg_03102,de,"Hast du nicht Pfeile im Köcher, so misch dich nicht unter die Schützen","If you have no arrows in your quiver, go not with archers.",0,
98,gutenberg_06446,nl,"Haast getrouwd, lang berouwd",Marry in haste and repent at leisure.,0,
99,gutenberg_02892,de,Ein gutes Mahl ist Henkenswerth,A good meal is worth hanging for.,1,
100,gutenberg_01114,fr,Sauter de la poële sur la braise,To jump out of the frying pan into the fire.,1,
